DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PEOCESS3,TEMP5,TEMP6,QUALITY2,ID
2022-02-27 14:10:00,12,GR1,0.223,1.317,0.016,0.022,0.237,0.003,0.0001,0.041,0.0076,53.0,908,965.0,111,712.948,164,23,2532,2070,1.37,563.0,545,591.134,A05907
2022-02-26 12:30:00,12,GR3,0.205,1.3,0.015,0.024,0.223,0.003,0.0002,0.031,0.007,56.0,1072,1067.0,69,679.353,4,26,2147,2460,1.38,571.0,518,568.167,A50180
2022-02-27 01:25:00,12,GR1,0.22,1.333,0.015,0.025,0.244,0.003,0.0004,0.032,0.01,55.0,1094,904.0,23,703.372,143,24,3371,2177,1.38,526.0,524,579.86,A05091
2022-02-27 17:10:00,12,GR1,0.22,1.333,0.015,0.025,0.244,0.003,0.0004,0.032,0.01,55.0,1113,1135.0,56,706.03,174,20,3068,3195,1.37,596.0,554,581.734,A05190
2022-02-27 17:40:00,12,GR1,0.22,1.333,0.015,0.025,0.244,0.003,0.0004,0.032,0.01,55.0,1143,944.0,64,730.708,232,26,1789,2471,1.37,507.0,558,607.876,A19050
2022-04-03 05:35:00,12,GR2,0.214,1.393,0.02,0.025,0.238,0.003,0.002,0.023,0.01,48.0,932,1104.0,97,714.184,144,18,1729,3066,1.38,531.0,500,607.529,A06089
2022-04-03 05:45:00,12,GR2,0.214,1.393,0.02,0.025,0.238,0.003,0.002,0.023,0.01,48.0,1115,1073.0,96,714.184,250,24,2022,1580,1.37,637.0,553,607.529,A08096
2022-03-03 23:35:00,12,GR2,0.207,1.349,0.013,0.02,0.263,0.002,0.0001,0.023,0.006,50.0,1147,1013.0,3,695.055,290,25,1857,3112,1.38,533.0,504,595.839,A56014
2022-04-03 00:10:00,12,GR2,0.207,1.349,0.013,0.02,0.263,0.002,0.0001,0.023,0.006,50.0,982,1053.0,40,706.203,160,28,2087,2647,1.38,501.0,560,594.754,A40156
2022-02-26 13:00:00,12,GR3,0.217,0.76,0.015,0.022,0.166,0.003,0.0001,0.022,0.0054,55.0,1083,910.0,73,691.219,205,24,2454,2905,1.38,562.0,531,572.278,A08865
2022-04-03 08:25:00,12,GR2,0.21,1.415,0.012,0.027,0.293,0.002,0.0002,0.024,0.009,52.0,1020,1037.0,56,698.765,63,23,3017,2806,1.38,632.0,577,597.83,A88760
