DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PROCESS3,TEMP5,TEMP6,QUALITY2,ID,uts/ys
2022-10-09 15:15:00,10,GR1,0.223,1.302,0.013,0.02,0.236,0.003,0.0004,0.028,0.006,40.0,1036,855.0,53,737.311,201,26,3206,2084,1.33,563.0,562,642.915,A19813,1.146825007971505
2022-10-09 20:20:00,10,GR1,0.225,1.34,0.016,0.027,0.269,0.004,0.0026,0.0265,0.0085,64.0,1000,1112.0,84,724.151,134,29,2131,1737,1.33,620.0,551,614.073,A01329,1.179258817762709
2022-10-09 19:40:00,10,GR1,0.23,1.292,0.014,0.023,0.222,0.003,0.0002,0.029,0.006,48.0,834,927.0,70,728.255,243,28,2778,2780,1.33,640.0,618,617.095,A93142,1.180134339121205
2022-10-09 21:25:00,10,GR1,0.22,1.304,0.016,0.026,0.246,0.003,0.0002,0.033,0.008,51.0,964,1071.0,101,705.507,276,30,2364,1717,1.33,550.0,627,594.383,A31962,1.186956894796789
2022-10-09 03:10:00,10,GR1,0.22,1.306,0.014,0.021,0.227,0.003,0.0003,0.027,0.007,49.0,1084,919.0,13,726.941,281,30,2345,3448,1.34,537.0,614,610.281,A92621,1.191157843681845
2022-10-09 02:35:00,10,GR1,0.22,1.306,0.014,0.021,0.227,0.003,0.0003,0.027,0.007,49.0,977,1054.0,79,712.869,187,32,1752,2778,1.34,543.0,543,614.808,A12926,1.1594985751649296
2022-09-09 23:45:00,10,GR1,0.22,1.252,0.017,0.024,0.209,0.004,0.0008,0.029,0.01,45.0,1060,840.0,79,716.992,79,26,2243,2684,1.34,566.0,559,610.503,A61902,1.1744282992876365
2022-09-09 19:40:00,10,GR1,0.225,1.315,0.015,0.024,0.233,0.003,0.0002,0.033,0.008,45.0,1081,928.0,11,742.558,72,26,2553,2681,1.35,601.0,559,637.433,A51729,1.1649192934786872
2022-09-09 21:15:00,10,GR1,0.227,1.337,0.02,0.024,0.22,0.003,0.0006,0.027,0.006,59.0,921,1014.0,109,714.059,177,26,1568,1948,1.35,630.0,578,609.065,A14295,1.1723855417730453
2022-09-09 16:00:00,10,GR1,0.226,1.292,0.017,0.026,0.229,0.003,0.0002,0.035,0.007,56.0,937,1012.0,47,710.577,120,27,2596,2896,1.34,555.0,614,603.644,A91427,1.1771458011675755
2022-09-09 17:20:00,10,GR1,0.226,1.293,0.021,0.024,0.212,0.003,0.0002,0.031,0.008,56.0,1010,932.0,151,741.426,297,29,2155,3401,1.34,544.0,609,641.904,A59124,1.1550418754206238
2022-09-09 16:35:00,10,GR1,0.226,1.293,0.021,0.024,0.212,0.003,0.0002,0.031,0.008,56.0,1157,901.0,150,720.449,96,28,1939,2115,1.34,613.0,613,607.958,A51249,1.185030873843259
2022-09-09 14:45:00,10,GR1,0.222,1.296,0.014,0.027,0.228,0.003,0.0002,0.031,0.007,53.0,862,1037.0,123,739.884,117,29,2424,2864,1.34,568.0,575,640.481,A39215,1.155200544590706
2022-09-09 08:00:00,10,GR1,0.234,1.36,0.015,0.021,0.24,0.003,0.0005,0.028,0.006,49.0,1017,992.0,128,729.918,268,31,1635,2542,1.33,597.0,587,617.543,A29321,1.181971133993908
2022-09-09 05:50:00,10,GR1,0.231,1.3,0.014,0.023,0.22,0.003,0.0001,0.03,0.0055,55.0,979,853.0,140,717.5245,236,31,2928,1930,1.33,550.0,601,622.31,A95121,1.153001719400299
2022-09-09 00:30:00,10,GR1,0.223,1.3,0.016,0.027,0.226,0.003,0.0004,0.031,0.01,48.0,846,1101.0,53,711.571,193,29,1439,2321,1.33,556.0,638,609.094,A92017,1.1682449671150923
